property_title,property_location,price,area,listing_type,price_per_sqm,price_category,area_boxcox
325,54,-0.014715447119163649,-0.028310962914693306,0,-0.014735986901978563,1,9.425631161280476
924,54,-0.014715515163275678,-0.030207739453949656,0,-0.014735973332870229,1,4.976387671288375
88,75,-0.014715637642677332,-0.030211540926763196,0,-0.014735891680066227,1,2.2039128130510632
2070,69,-0.014715630838266127,-0.030211540926763196,0,-0.014735878071265559,1,2.2039128130510632
2715,66,-0.014711602626833981,-0.030209719387706706,0,-0.014735333719238863,0,4.407918276740603
1772,80,-0.014715515163275678,-0.030210194571808402,0,-0.014735951129037562,1,4.178638609774927
56,69,-0.014715583207387707,-0.030211683481993705,0,-0.014733945621570788,0,0.0
1034,54,-0.014714732655987339,-0.030206947480446833,0,-0.01473592343393445,1,5.123423131011159
936,78,-0.01470922108291295,-0.030207264269847964,0,-0.014735525214505397,0,5.067903777272784
2091,66,-0.014715208964771544,-0.030207264269847964,0,-0.01473595291966923,1,5.067903777272784
753,37,-0.014715481141219663,-0.030208182959111235,0,-0.014735968551399725,1,4.8800390265918026
2095,72,-0.014715651251499737,-0.030208182959111235,0,-0.014735983876625702,1,4.8800390265918026
2941,54,-0.014710922185713687,-0.03020742266454853,0,-0.014735634120912854,2,5.038579178902315
1426,78,-0.014715549185331692,-0.030210843990080713,0,-0.014735936538705464,1,3.6990370310384484
1163,5,-0.014715106898603501,-0.03017210064632271,0,-0.01473598231467867,1,6.759977040558652
24,3,-0.01471517494271553,-0.030180020381350918,0,-0.014735981838370646,1,6.593934729641651
932,95,-0.014715072876547487,-0.03017210064632271,0,-0.014735982042502658,1,6.759977040558652
2464,3,-0.01471517494271553,-0.03017210064632271,0,-0.014735982859030697,1,6.759977040558652
115,78,-0.014715515163275678,-0.03021011537445812,0,-0.01473595291966923,1,4.221675292855603
1570,67,-0.014715562794154098,-0.030210590558559812,0,-0.01473595194761204,1,3.9206551848442524
1298,51,-0.014714732655987339,-0.030204571559938373,0,-0.014735944603179932,1,5.446755703760222
2065,54,-0.014715678469144549,-0.030204571559938373,0,-0.014735986639253105,1,5.446755703760222
605,54,-0.014715413097107633,-0.030211667642523646,0,-0.014733265181537418,0,0.684021635097542
2095,72,-0.014715413097107633,-0.030211667642523646,0,-0.014733265181537418,0,0.684021635097542
2065,54,-0.014715447119163649,-0.030211667642523646,0,-0.014733605401554103,0,0.684021635097542
1430,80,-0.014713643950194867,-0.030210828150610658,0,-0.014735244643452676,0,3.7147794002597614
106,54,-0.014715515163275678,-0.03021011537445812,0,-0.01473595291966923,1,4.221675292855603
2144,54,-0.014715379075051618,-0.03021011537445812,0,-0.014735925702067894,1,4.221675292855603
94,69,-0.014715583207387707,-0.03021011537445812,0,-0.014735966528469898,1,4.221675292855603
2070,69,-0.014715583207387707,-0.03021011537445812,0,-0.014735966528469898,1,4.221675292855603
1365,72,-0.014715583207387707,-0.03021090734796094,0,-0.014735946115268895,1,3.632888733936652
2066,56,-0.014715583207387707,-0.03021090734796094,0,-0.014735946115268895,1,3.632888733936652
1750,54,-0.014715515163275678,-0.030197443798412982,0,-0.01473598316144849,1,5.987992290274212
110,69,-0.014715569598565301,-0.03021011537445812,0,-0.014735963806709763,1,4.221675292855603
1442,54,-0.014409486769423049,-0.0302108123111406,0,-0.014626630507736407,0,3.730227338522908
1231,54,-0.014715038854491472,-0.030205363533441193,0,-0.014735954620769312,1,5.353348447765975
2067,66,-0.014715644447088535,-0.030205363533441193,0,-0.014735984900350798,1,5.353348447765975
2067,66,-0.014715596816210113,-0.030205363533441193,0,-0.01473598251881068,1,5.353348447765975
220,54,-0.01471517494271553,-0.030209956979757556,0,-0.014735894154393619,1,4.301419220201339
1163,5,-0.014715277008883575,-0.030206947480446833,0,-0.014735959724069563,1,5.123423131011159
2093,68,-0.014714868744211398,-0.030206947480446833,0,-0.014735932506468229,1,5.123423131011159
113,75,-0.014715603620621315,-0.03021011537445812,0,-0.014735970611110098,1,4.221675292855603
2093,68,-0.014715004832435456,-0.03021011537445812,0,-0.014735850853664224,2,4.221675292855603
1731,54,-0.014715481141219663,-0.030210273769158684,0,-0.014735941579002007,1,4.1331828344154475
267,54,-0.012333767109907457,-0.030193008746797183,0,-0.014695615511860492,0,6.195625632610375
91,54,-0.014715678469144549,-0.03021011537445812,0,-0.014735985580790832,1,4.221675292855603
2072,72,-0.014715617229443721,-0.03021011537445812,0,-0.014735973332870229,1,4.221675292855603
1062,54,-0.014715515163275678,-0.03021011537445812,0,-0.01473595291966923,1,4.221675292855603
2065,54,-0.01471559001179891,-0.03021011537445812,0,-0.014735967889349963,1,4.221675292855603
413,54,-0.014715447119163649,-0.030209323400955296,0,-0.014735955187802673,1,4.558911990877848
2508,75,-0.014103288265290346,-0.030209323400955296,0,-0.014654334137666479,0,4.558911990877848
977,54,-0.01471531103093959,-0.030206947480446833,0,-0.014735961992203008,1,5.123423131011159
2065,54,-0.014715277008883575,-0.030206947480446833,0,-0.014735959724069563,1,5.123423131011159
148,54,-0.014715419901518836,-0.03021011537445812,0,-0.014735933867348295,1,4.221675292855603
1502,54,-0.014715678469144549,-0.03020219563942991,0,-0.014735986714857553,1,5.673135782841746
2503,66,-0.014715140920659515,-0.03020219563942991,0,-0.014735968796603341,1,5.673135782841746
1634,54,-0.014715481141219663,-0.030210432163859248,0,-0.014735935908668394,1,4.033832759814805
1691,54,-0.014715447119163649,-0.030210352966508966,0,-0.014735930905432855,1,4.085025679540261
283,54,-0.014715481141219663,-0.03020979858505699,0,-0.01473595291966923,1,4.3739658175515075
2065,54,-0.014715678469144549,-0.03020979858505699,0,-0.014735985807604176,1,4.3739658175515075
2091,66,-0.014715072876547487,-0.03020979858505699,0,-0.014735884875665892,1,4.3739658175515075
70,54,-0.014715624033854924,-0.030211683481993705,0,-0.014734762149610831,0,0.0
2065,54,-0.014715481141219663,-0.030211683481993705,0,-0.014731904301470677,0,0.0
2571,66,-0.014715072876547487,-0.030211065742661504,0,-0.014735680743655881,2,3.4399894034605016
2067,66,-0.014715596816210113,-0.030210352966508966,0,-0.014735966128211054,1,4.085025679540261
2070,69,-0.014715617229443721,-0.030210352966508966,0,-0.01473597093131717,1,4.085025679540261
2065,54,-0.014715447119163649,-0.030210352966508966,0,-0.014735930905432855,1,4.085025679540261
301,54,-0.014715678469144549,-0.03020979858505699,0,-0.014735985807604176,1,4.3739658175515075
776,54,-0.014715515163275678,-0.03020789784865022,0,-0.014735972765836868,1,4.94332526551796
470,66,-0.014715617229443721,-0.030209165006254732,0,-0.01473597843617048,1,4.612108692715635
2397,68,-0.014715072876547487,-0.030209165006254732,0,-0.014735910392167144,1,4.612108692715635
